match_id,date,home,away,home_score,away_score
1, 2025-08-27,아르테,로버트,77,70
2, 2025-08-27,근근,소나,108,74
3, 2025-08-27,아르테,근근,87,64
4, 2025-08-27,숑숑,아르테,87,86
5, 2025-08-27,아르테,소나,103,80
6, 2025-08-27,승지,아르테,86,83
7, 2025-08-27, 승지,근근,92,74
8, 2025-08-27,깡,소나,124,46
9, 2025-08-27,근근,깡,85,80
10,2025-08-27,승지,깡,78,62
11,2025-08-27,디니,소나,91,69
12,2025-08-27,근근,디니,83,64
13,2025-08-27,로버트,미정,87,79
14,2025-08-27,다루,하늘,99,77
15,2025-08-27,숑숑,다루,76,64
16,2025-08-27,하늘,숑숑,82,71
17,2025-08-27,하늘,미정,78,72
18,2025-08-27,미정,숑숑,100,62

21,2025-08-28,숑숑,승지,93,89
22,2025-08-28,하늘,승지,70,59
23,2025-08-28,근근,하늘,81,75
24,2025-08-28,로버트,근근,86,70
25,2025-08-28,로버트,디니,89,66

27,2025-08-28,로버트,하늘,83,72


30,2025-08-28,숑숑,잼,86,85


33,2025-08-28,잼,하늘,76,69
34,2025-08-28,로버트,숑숑,90,82
35,2025-08-28,숑숑,소나,91,75
36,2025-08-28,승지,소나,88,80
37,2025-08-28,소나,하늘,85,65
38,2025-08-28,다루,잼,80,70
39,2025-08-29,작은환,로버트,82,81
40,2025-08-29,아르테,작은환,75,60
41,2025-08-29,지명,작은환,82,81
42,2025-08-29,승지,로버트,85,83
43,2025-08-29,깡,작은환,84,53
44,2025-08-29,지명,로버트,86,66
45,2025-08-29,승지,작은환,85,63
46,2025-08-29,깡,지명,101,86
47,2025-08-29,숑숑,작은환,79,57
48,2025-08-29,지명,승지,89,72
49,2025-08-29,지명,디니,95,79
50,2025-08-30,로버트,다루,86,77
51,2025-08-30,근근,다루,71,62
52,2025-08-31,지명,찰리,88,69
53,2025-08-31,위나,작은환,81,76
54,2025-08-31,승지,큰환,93,87
55,2025-09-01,숑숑,위나,92,81
56,2025-09-01,위나,하늘,95,89
57,2025-09-01,승지,위나,83,73
58,2025-09-01,아르테,위나,86,81
57,2025-09-01,승지,위나,83,73
58,2025-09-01,깡,하늘,97,78
59,2025-09-01,깡,아르테,94,72
60,2025-09-01,근근,큰환,82,65
60,2025-09-01,큰환,아르테,89,87
61,2025-09-01,근근,작은환,93,69
62,2025-09-01,로버트,큰환,91,84
63,2025-09-01,큰환,작은환,80,79
64,2025-09-01,숑숑,큰환,99,63
65,2025-09-01,깡,로버트,95,94
66,2025-09-01,큰환,깡,83,77
67,2025-09-01,깡,숑숑,90,78
